,Direct.stressor,Location.general2,Guild,Negative,Neutral,Other,Positive,total,Color,Shade,%,%,%,%
1,Algal competition,Broader coast,Floating,2,0,0,0,2,blue,dark,1.00,0.00,0.00,0.00
4,Benthic sedimentation,Broader coast,Floating,4,0,0,0,4,blue,dark,1.00,0.00,0.00,0.00
8,Contaminants,Broader coast,Floating,7,1,0,0,8,blue,dark,0.88,0.13,0.00,0.00
12,Epiphytes ,Broader coast,Floating,1,3,0,0,4,gray,light,0.25,0.75,0.00,0.00
17,Nutrients,Broader coast,Floating,1,0,0,14,15,yellow,dark,0.07,0.00,0.00,0.93
20,Salinity,Broader coast,Floating,0,0,2,3,5,yellow,light,0.00,0.00,0.40,0.60
25,Temperature,Broader coast,Floating,24,5,4,4,37,blue,light,0.65,0.14,0.11,0.11
14,Tissue damage,Broader coast,Floating,16,2,0,1,19,blue,dark,0.84,0.11,0.00,0.05
28,Water clarity,Broader coast,Floating,0,0,2,7,9,yellow,light,0.00,0.00,0.22,0.78
6,Benthic sedimentation,Salish Sea,Floating,1,0,0,0,1,blue,dark,1.00,0.00,0.00,0.00
19,Nutrients,Salish Sea,Floating,0,0,0,2,2,yellow,dark,0.00,0.00,0.00,1.00
22,Salinity,Salish Sea,Floating,0,0,0,1,1,yellow,dark,0.00,0.00,0.00,1.00
27,Temperature,Salish Sea,Floating,2,0,1,0,3,blue,light,0.67,0.00,0.33,0.00
16,Tissue damage,Salish Sea,Floating,2,1,0,0,3,blue,light,0.67,0.33,0.00,0.00
30,Water clarity,Salish Sea,Floating,0,0,0,1,1,yellow,dark,0.00,0.00,0.00,1.00
2,Algal competition,Broader coast,Non-floating,4,1,0,1,6,blue,light,0.67,0.17,0.00,0.17
5,Benthic sedimentation,Broader coast,Non-floating,3,0,0,0,3,blue,dark,1.00,0.00,0.00,0.00
9,Contaminants,Broader coast,Non-floating,8,0,1,0,9,blue,dark,0.89,0.00,0.11,0.00
11,Epiphytes,Broader coast,Non-floating,18,9,0,1,28,blue,light,0.64,0.32,0.00,0.04
18,Nutrients,Broader coast,Non-floating,3,2,0,28,33,yellow,dark,0.09,0.06,0.00,0.85
21,Salinity,Broader coast,Non-floating,2,1,1,14,18,yellow,light,0.11,0.06,0.06,0.78
26,Temperature,Broader coast,Non-floating,104,14,19,19,156,blue,light,0.67,0.09,0.12,0.12
15,Tissue damage,Broader coast,Non-floating,34,8,0,3,45,blue,light,0.76,0.18,0.00,0.07
29,Water clarity,Broader coast,Non-floating,3,1,1,7,12,yellow,light,0.25,0.08,0.08,0.58
3,Algal competition,Salish Sea,Non-floating,1,0,0,0,1,blue,dark,1.00,0.00,0.00,0.00
7,Benthic sedimentation,Salish Sea,Non-floating,1,0,0,0,1,blue,dark,1.00,0.00,0.00,0.00
31,Water clarity,Salish Sea,Non-floating,0,0,0,1,1,yellow,dark,0.00,0.00,0.00,1.00